Kode Akun,Jenis,KAK,FPA/Nota Dinas,SP2D,SPM,SPBy,DRPP,SPK/Surat Perjanjian,Kuitansi/Bukti Pembayaran,Berita Acara Pembayaran,Tanda Terima,SSP,SSP PPh Pasal 21,SK KPA,SK KPA tentang Honor,SK PPK,SK Pejabat Pengadaan,SK Pemilihan Pokja,Undangan,Daftar Hadir,Notulen,Jadwal Kegiatan,Dokumentasi,CV Narsum,Bahan Paparan,Surat Tugas,SPD dan Bukti Visum,Presensi dan Uang Makan,Rincian Biaya Perjadin,Bukti Transportasi,Bukti Penginapan,Laporan Inda/mengajar,Laporan Kegiatan/ Perjadin,Rekapitulasi (Pembayaran)  Perjadin,Surat Pernyataan tidak menggunakan kendaraan dinas,Daftar Pengeluaran Riil,Surat Pernyataan fasilitas kantor tidak mencukupi,Invoice,List Kamar Hotel,Formulir Identifikasi Kebutuhan,Formulir Perencanaan Pengadaan,Rencana Umum Pengadaan (RUP),Penetapan Spesifikasi Teknis,Penetapan RAB/HPS,Penetapan Rancangan Kontrak,Permintaan pemilihan kepada pejabar Pengadaan,Permintaan Pokja Pemilihan Kepada Ka UKPBJ,Surat Penugasan Pokja Pemilihan,Bukti Pemesanan/Surat Undangan Penyampaian Penawaran,BA negosiasi teknis dan/atau harga dan/atau Klarifikasi,Berita Acara/ Laporan Hasil Pemilihan,Kontrak Kerjasama dengan Pihak Hotel,Surat Perintah Mulai Kerja (SPMK),Berita Acara Pemeriksaan Pekerjaan (BAPP),Berita Acara serah terima hasil pekerjaan (BAST),FC NPWP,Bukti Prestasi Kerja,Memo PPK,ID SiRUP,Daftar Rekapitulasi Belanja Honor,SPJ
521111,Belanja Keperluan Perkantoran,Ya,Ya,Ya,Ya,Ya,Ya,Ya/Tidak,Ya,Tidak,Ya/Tidak,Ya/Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
521115,Belanja Honor Operasional Satker,Ya,Ya,Ya,Ya,Ya/Tidak,Ya/Tidak,Tidak,Ya,Tidak,Ya/Tidak,Ya/Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
521219,Belanja Barang Non Operasional Lainnya,Ya,Ya,Ya,Ya,Ya/Tidak,Ya/Tidak,Ya/Tidak,Ya,Tidak,Ya/Tidak,Ya/Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
521252,Belanja Peralatan dan Mesin,Ya,Ya,Ya,Ya,Ya/Tidak,Ya/Tidak,Ya/Tidak,Ya,Tidak,Ya/Tidak,Ya/Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
522111,Belanja Langganan Listrik,Ya,Ya,Ya,Ya,Ya/Tidak,Ya/Tidak,Ya/Tidak,Ya,Tidak,Ya/Tidak,Ya/Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
522112,Belanja Langganan Telepon,Ya,Ya,Ya,Ya,Ya/Tidak,Ya/Tidak,Ya/Tidak,Ya,Tidak,Ya/Tidak,Ya/Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
522113,Belanja Langganan Air,Ya,Ya,Ya,Ya,Ya/Tidak,Ya/Tidak,Ya/Tidak,Ya,Tidak,Ya/Tidak,Ya/Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
523111,Pemeliharaan Gedung dan Bangunan,Ya,Ya,Ya,Ya,Ya/Tidak,Ya/Tidak,Ya/Tidak,Ya,Tidak,Ya/Tidak,Ya/Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
523121,Pemeliharaan Alat dan Mesin,Ya,Ya,Ya,Ya,Ya/Tidak,Ya/Tidak,Ya/Tidak,Ya,Tidak,Ya/Tidak,Ya/Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
521211,Konsumsi Rapat,Ya,Ya,Ya,Ya,Ya/Tidak,Ya/Tidak,Tidak,Ya,Tidak,Tidak,Ya/Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
521211,Belanja Bahan,Ya,Ya,Ya,Ya,Ya/Tidak,Ya/Tidak,Ya/Tidak,Ya,Tidak,Ya/Tidak,Ya/Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
521811,Barang Persediaan,Ya,Ya,Ya,Ya,Ya/Tidak,Ya/Tidak,Ya/Tidak,Ya,Tidak,Ya/Tidak,Ya/Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
